Date,Return
04/16/2012,-0.02967
04/13/2012,-0.04057
04/12/2012,0.02367
04/11/2012,0.01452
04/10/2012,-0.00631
04/09/2012,-0.00234
04/05/2012,-0.00446
04/04/2012,-0.01162
04/03/2012,-0.00665
04/02/2012,0.00886
03/30/2012,-0.01106
03/29/2012,-0.01121
03/28/2012,0.01351
03/27/2012,-0.00356
03/26/2012,0.01049
03/23/2012,-0.00536
03/22/2012,0.00948
03/21/2012,0.01024
03/20/2012,-0.00077
03/19/2012,0.01430
03/16/2012,0.00629
03/15/2012,0.00834
03/14/2012,-0.00290
03/13/2012,0.02087
03/12/2012,0.00816
03/09/2012,-0.01135
03/08/2012,0.00056
03/07/2012,0.00304
03/06/2012,-0.01512
03/05/2012,-0.01127
03/02/2012,-0.00185
03/01/2012,0.00671
02/29/2012,-0.00023
02/28/2012,0.01490
02/27/2012,-0.00097
02/24/2012,0.00625
02/23/2012,-0.00301
02/22/2012,-0.00987
02/21/2012,0.01548
02/17/2012,-0.00310
02/16/2012,0.00159
02/15/2012,-0.00689
02/14/2012,-0.00399
02/13/2012,0.01038
02/10/2012,-0.00908
02/09/2012,0.00264
02/08/2012,0.00508
02/07/2012,-0.00381
02/06/2012,0.02140
02/03/2012,0.01918
02/02/2012,0.00737
02/01/2012,0.00124
01/31/2012,0.00419
01/30/2012,-0.00395
01/27/2012,0.02091
01/26/2012,-0.00244
01/25/2012,-0.01969
01/24/2012,-0.00784
01/23/2012,-0.00080
01/20/2012,-0.08378
01/19/2012,0.01052
01/18/2012,0.00689
01/17/2012,0.00574
01/13/2012,-0.00739
01/12/2012,0.00588
01/11/2012,0.00453
01/10/2012,0.00109
01/09/2012,-0.04240
01/06/2012,-0.01364
01/05/2012,-0.01387
01/04/2012,0.00431
01/03/2012,0.03021
12/30/2011,0.00545
12/29/2011,0.00422
12/28/2011,-0.00086
12/27/2011,0.01123
12/23/2011,0.00546
12/22/2011,0.00620
12/21/2011,-0.00722
12/20/2011,0.01373
12/19/2011,-0.00660
12/16/2011,0.01036
12/15/2011,0.00238
12/14/2011,-0.01208
12/13/2011,0.00038
12/12/2011,-0.00324
12/09/2011,0.01846
12/08/2011,-0.01177
12/07/2011,-0.00061
12/06/2011,-0.00300
12/05/2011,0.00853
12/02/2011,0.01074
12/01/2011,0.02399
11/30/2011,0.02824
11/29/2011,-0.00894
11/28/2011,0.04474
11/25/2011,-0.01247
11/23/2011,-0.01705
11/22/2011,-0.00162
11/21/2011,-0.02343
11/18/2011,-0.00997
11/17/2011,-0.01734
11/16/2011,-0.00826
11/15/2011,0.00581
11/14/2011,0.00764
11/11/2011,0.02230
11/10/2011,-0.00977
11/09/2011,-0.01860
11/08/2011,0.00659
11/07/2011,0.02045
11/04/2011,-0.00228
11/03/2011,0.02168
11/02/2011,0.01066
11/01/2011,-0.02361
10/31/2011,-0.01250
10/28/2011,0.00246
10/27/2011,0.02108
10/26/2011,0.00540
10/25/2011,-0.02223
10/24/2011,0.01004
10/21/2011,0.01168
10/20/2011,0.00511
10/19/2011,-0.01661
10/18/2011,0.01391
10/17/2011,-0.01567
10/14/2011,0.05848
10/13/2011,0.01912
10/12/2011,0.00979
10/11/2011,0.01119
10/10/2011,0.04281
10/07/2011,0.00080
10/06/2011,0.01983
10/05/2011,0.00558
10/04/2011,0.01288
10/03/2011,-0.03790
09/30/2011,-0.02362
09/29/2011,-0.00253
09/28/2011,-0.01947
09/27/2011,0.01401
09/26/2011,0.01214
09/23/2011,0.00932
09/22/2011,-0.03438
09/21/2011,-0.01359
09/20/2011,-0.00007
09/19/2011,-0.00002
09/16/2011,0.00759
09/15/2011,0.01972
09/14/2011,0.00482
09/13/2011,-0.00113
09/12/2011,0.01004
09/09/2011,-0.01890
09/08/2011,0.00174
09/07/2011,0.02269
09/06/2011,-0.00507
09/02/2011,-0.01439
09/01/2011,-0.01564
08/31/2011,0.00048
08/30/2011,0.00301
08/29/2011,0.02319
08/26/2011,0.01311
08/25/2011,-0.00621
08/24/2011,0.00862
08/23/2011,0.04145
08/22/2011,0.01477
08/19/2011,-0.02765
08/18/2011,-0.05302
08/17/2011,-0.01085
08/16/2011,-0.03272
08/15/2011,-0.01160
08/12/2011,0.00292
08/11/2011,0.02390
08/10/2011,-0.04255
